v1_id	candidate_id	dataset	provider	coverage	resolution	license_or_terms	official_page	direct_access	role	decision	risk
D05	C-D05-01	geoBoundaries CHN ADM2	William and Mary geoLab	2017 China; 2391 units	vector	PDDL 1.0	https://www.geoboundaries.org/api/current/gbOpen/CHN/ADM2/	API JSON and ZIP	pilot county overlay	DOWNLOAD_PILOT	Not authoritative; unit count below current China county-level count; no stable GB code
D05	C-D05-02	GADM 4.1 China GeoPackage	GADM	version 4.1; ADM0-ADM3	vector	Academic and non-commercial use under GADM terms	https://gadm.org/license.html	https://geodata.ucdavis.edu/gadm/gadm4.1/gpkg/gadm41_CHN.gpkg	pilot county geometry comparison	DOWNLOAD_PILOT	Not authoritative; administrative level and code crosswalk require audit
D08	C-D08-01	WorldPop UN-adjusted annual population 1 km	WorldPop	China 2000-2020	1 km annual	CC BY 4.0	https://www.worldpop.org/geodata/listing?id=29	https://data.worldpop.org/GIS/Population/Global_2000_2020_1km_UNadj/	county time-varying population control	DOWNLOAD	Ends in 2020; 2021-2025 gap needs another source or interpolation scenario
D09	C-D09-01	SoilGrids 2.0 SOC mean	ISRIC	China subset; 0-5 5-15 15-30 cm	250 m	CC BY 4.0	https://www.isric.org/explore/soilgrids/soilgrids-access	https://maps.isric.org/mapserv	SOC stock input	DOWNLOAD_TILED_BASELINE	Mean alone is not uncertainty; quantiles deferred until baseline pipeline passes
D09	C-D09-02	SoilGrids 2.0 bulk density mean	ISRIC	China subset; 0-5 5-15 15-30 cm	250 m	CC BY 4.0	https://www.isric.org/explore/soilgrids/soilgrids-access	https://maps.isric.org/mapserv	SOC stock input	DOWNLOAD_TILED_BASELINE	Requires unit conversion and coarse-fragment correction
D09	C-D09-03	SoilGrids 2.0 coarse fragments mean	ISRIC	China subset; 0-5 5-15 15-30 cm	250 m	CC BY 4.0	https://www.isric.org/explore/soilgrids/soilgrids-access	https://maps.isric.org/mapserv	SOC stock correction	DOWNLOAD_TILED_BASELINE	Requires common grid and depth weighting
D11	C-D11-01	2019 Refinement Volume 4 AFOLU	IPCC NGGIP	global methods	PDF and worksheets	Public IPCC methodological material	https://www.ipcc-nggip.iges.or.jp/public/2019rf/vol4.html	official chapter PDFs	transition factors and accounting rules	DOWNLOAD_REFERENCE	Tier 1 defaults are parameters not China-specific validation
D12	C-D12-01	Global Power Plant Database v1.3	World Resources Institute	global; release predates full 2022 coverage	point and CSV	CC BY 4.0	https://github.com/wri/global-power-plant-database	https://raw.githubusercontent.com/wri/global-power-plant-database/master/output_database/global_power_plant_database.csv	PV capacity calibration candidate	DOWNLOAD_CALIBRATION	Incomplete and dated for China; not national Phase capacity truth
D10	C-D10-02	ESA CCI Biomass v7 China AGB and AGB SD	ESA CCI / CEDA	2010-2012 and 2015-2022 China-intersecting 10-degree tiles	100 m	ESA CCI Biomass terms; citation required	https://catalogue.ceda.ac.uk/uuid/6429d1aafe1e43b9b414e4a5a7f8b903/	https://data.ceda.ac.uk/neodc/esacci/biomass/data/agb/maps/v7.0/geotiff	AGB input for BGB estimation and uncertainty	DOWNLOAD	AGB excludes roots; 2013-2014 absent; BGB must use land-class-specific root-shoot ratios
D10	C-D10-03	IPCC root-shoot ratio parameter tables	IPCC NGGIP	global biome/land-category defaults	PDF	Public IPCC methodological material	https://www.ipcc-nggip.iges.or.jp/public/gpglulucf/gpglulucf_files/Chp3/Anx_3A_1_Data_Tables.pdf	direct PDF	BGB equals AGB times root-shoot ratio parameter source	DOWNLOAD_REFERENCE	Defaults require CLCD class mapping and parameter uncertainty scenarios
D08	C-D08-02	WorldPop interim China population 2021-2022 unconstrained	WorldPop	China 2021-2022	1 km annual	CC BY 4.0	https://data.worldpop.org/GIS/Population/Global_2021_2022_1km_UNadj/release_statement.pdf	https://data.worldpop.org/GIS/Population/Global_2021_2022_1km_UNadj/unconstrained/	county time-varying population control	DOWNLOAD	Interim product reuses 2020 spatial distribution and adjusts national totals; not a new spatial redistribution model
D14	C-D14-02	China regional grid baseline emission factors OM/BM	MEE/NDRC	published vintages 2006-2019; six regional grids	PDF	official public documents	https://www.mee.gov.cn/ywgz/ydqhbh/wsqtkz/201812/t20181220_685481.shtml	official linked PDFs	operating-margin and build-margin factor scenarios	DOWNLOAD_REFERENCE	Publication year is not the underlying single data year; e.g. 2019 OM is 2015-2017 weighted average; no official 2020-2022 OM located
D14	C-D14-03	China official 2021-2022 electricity average CO2 factors	MEE and National Bureau of Statistics	2021-2022 national regional provincial	table/PDF	official public documents	https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html	official linked PDFs	average-factor sensitivity only	DOWNLOAD_REFERENCE	Average factor is not marginal avoided-emission factor and must not be labelled OM
