id	source	required_period	status	blocking_reason	acceptance
S01	PV polygons and install year	2010-2022	AVAILABLE_AUDITED	P01 done 2026-09-09: 29,979 patches after dedup, 3 date anomalies fixed, area unit confirmed km2	valid unique geometry; install year 2010-2022; checksum frozen [DONE]
S02	CLCD annual land cover	2000-2025	AVAILABLE_AUDITED	P01 done 2026-09-09: 26 rasters CRS/transform/size/nodata all consistent, grid frozen (analysis_grid.json)	26 aligned annual rasters; metadata and hashes frozen [DONE]
S03	Rice annual maps	pre/post windows for 2010-2022 phases	AVAILABLE_AUDITED	2026-09-24: extracted 672/672 tif readable; 28 provinces covered, 6 missing (Beijing/Tibet/Qinghai/Taiwan/HK/Macao) matches expected list exactly; crop-code NoData / value-domain audit still pending a dedicated pass	annual rasters for 2001-2024; expected regions and years complete; rice classes and NoData pass validation; hashes frozen [MOSTLY DONE]
S04	Maize annual maps	pre/post windows for 2010-2022 phases	AVAILABLE_AUDITED	same CCD extraction as S03; see S03	annual rasters for 2001-2024; expected regions and years complete; maize classes and NoData pass validation; hashes frozen [MOSTLY DONE]
S05	Wheat annual maps	pre/post windows for 2010-2022 phases	AVAILABLE_AUDITED	same CCD extraction as S03; see S03	annual rasters for 2001-2024; expected regions and years complete; wheat and rotation classes pass validation; hashes frozen [MOSTLY DONE]
S06	Authoritative county boundaries and crosswalk	2010-2022	MISSING_CRITICAL	no progress since 2026-08-31; source decision (国家基础地理信息中心/RESDC/民政部代码表) still pending user; pilot boundaries lack stable historical code crosswalk	county code, parent code, valid_from, valid_to and geometry frozen
S07	Site threshold validation sample	2010-2022	MISSING_CRITICAL	no progress since 2026-08-31; sampling design not yet confirmed with user; requires manual high-res imagery interpretation (not automatable)	stratified labels support baseline threshold and sensitivity thresholds
S08	Land-change validation sample	study years	MISSING_CRITICAL	no progress since 2026-08-31; requires manual high-res imagery interpretation (not automatable)	stratified labels and reviewer fields frozen
S09	ERA5-Land climate	study years	PARTIAL_GAP_FOUND	2026-09-24 audit: 2267 files, 9 variables confirmed, BUT raw only covers 2000-2020 -- 2021 and 2022 entirely missing (previous "near-complete" read was file-count-only, wrong); also 2005-03 sp missing. Needs a new download task for 2021-2022 (<=216 files) + the single gap month	complete selected variables through study end year 2022; readable files; hashes frozen
S10	Slope/DEM	baseline	IN_PROGRESS	2026-09-24: Copernicus GLO-30 DEM download launched (AWS S3 anonymous, 1324 candidate tiles selected via pilot-boundary intersection); first real download for this source, running in background	DEM source, resolution, vertical units and derived slope method frozen
S11	Road/city/grid distance layers	pre-construction	MISSING_REQUIRED	no versioned historical sources found; not re-checked 2026-09-24 (low priority, control variable only)	year-valid sources and distance definitions frozen
S12	Soil and vegetation carbon	baseline and uncertainty	PARTIAL	2026-09-24: SoilGrids mean layer audited and frozen -- BUT cfvo_15-30cm 0/28 tiles (fully missing) and cfvo_5-15cm 20/28 (short 8); bdod+soc complete (9/9 var-depth OK); own tiles/ correctly mosaicked into mosaics_china/*.vrt (the pre-existing 8 .vrt at root were SoilGrids' own broken upstream reference files, not usable). ESA CCI Biomass v7 download launched 2026-09-24 (CEDA anonymous access confirmed, 11 years x AGB+AGB_SD, running in background); v6 still not pursued (v7 supersedes)	units, depth, uncertainty, transition factors and checksums frozen
S13	Agricultural production emission factors	crop-year or scenario	MISSING_CRITICAL	Agrco2 definition and parameters absent; system boundary decision not made (Claude Code + user, pending V1 main-line discussion) — search should not start before this	system boundary, units, crop factors and uncertainty frozen
